               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.027443,            0.013044,           0.0030455,             0.94758,             0.97892,             0.96835,             0.43799,            0.044219,           0.0072403,           0.0012728,             0.00307,             0.00307,             0.00307
                  37,            0.025311,            0.012037,           0.0038138,             0.94716,             0.98067,             0.96369,             0.42349,            0.044489,           0.0071545,           0.0012501,            0.002872,            0.002872,            0.002872
                  38,            0.024516,            0.012961,           0.0031934,             0.95944,             0.99859,             0.98672,             0.49564,            0.038156,           0.0066204,           0.0011074,            0.002674,            0.002674,            0.002674
                  39,            0.024727,            0.013129,           0.0034083,             0.96806,             0.96667,             0.97555,             0.48365,            0.039994,            0.006835,           0.0010681,            0.002476,            0.002476,            0.002476
                  40,            0.024234,            0.012648,            0.002806,             0.94405,             0.98333,              0.9763,             0.46951,            0.039394,           0.0069804,               0.001,            0.002278,            0.002278,            0.002278
                  41,            0.022942,            0.012337,           0.0031531,             0.94119,                   1,             0.98636,             0.51241,            0.037969,           0.0069733,          0.00091372,             0.00208,             0.00208,             0.00208
                  42,            0.022455,            0.013226,           0.0027307,              0.9596,             0.99976,             0.98875,             0.48762,            0.038357,           0.0071135,           0.0008729,            0.001882,            0.001882,            0.001882
                  43,            0.021578,             0.01083,           0.0025905,             0.95491,             0.99523,             0.98875,             0.46785,            0.039679,           0.0071511,          0.00084782,            0.001684,            0.001684,            0.001684
                  44,            0.023327,            0.011674,           0.0023202,             0.95651,             0.99539,             0.98781,             0.52115,            0.037122,           0.0069809,          0.00081749,            0.001486,            0.001486,            0.001486
                  45,            0.021666,            0.013023,            0.002664,             0.96535,             0.99136,             0.98875,             0.50069,            0.039204,           0.0070896,          0.00076303,            0.001288,            0.001288,            0.001288
                  46,            0.021724,            0.012452,           0.0022487,             0.95176,             0.97206,             0.97848,             0.53535,            0.035229,           0.0069337,          0.00072632,             0.00109,             0.00109,             0.00109
                  47,            0.020082,            0.011978,           0.0043929,             0.96054,             0.99474,             0.98984,             0.49694,            0.038475,           0.0071936,          0.00071068,            0.000892,            0.000892,            0.000892
                  48,            0.021094,            0.012165,           0.0027547,             0.94345,                   1,             0.98657,             0.51104,             0.03777,           0.0072756,          0.00072441,            0.000694,            0.000694,            0.000694
                  49,            0.020653,            0.011701,           0.0030582,             0.95845,             0.98333,              0.9854,             0.51096,            0.037196,           0.0072174,          0.00072403,            0.000496,            0.000496,            0.000496
